Team,Location,Against,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
PHX,Away,OKC,240,110,38,86,44.2,8,27,29.6,26,27,96.3,10,34,44,21,10,3,22,32,L
PHX,Away,MEM,240,96,36,78,46.2,9,33,27.3,15,19,78.9,5,30,35,28,5,1,19,25,L
PHX,Home,LAL,240,113,44,84,52.4,10,31,32.3,15,21,71.4,9,35,44,27,4,4,20,23,L
PHX,Away,GSW,240,103,39,86,45.3,9,34,26.5,16,18,88.9,12,33,45,24,8,1,21,21,L
PHX,Away,DEN,240,91,29,77,37.7,11,39,28.2,22,35,62.9,10,30,40,20,6,4,19,26,L
PHX,Home,DAL,240,121,44,81,54.3,19,34,55.9,14,16,87.5,6,38,44,35,5,2,12,22,W
PHX,Away,DAL,240,109,38,88,43.2,13,35,37.1,20,28,71.4,5,33,38,21,13,6,14,22,L
PHX,Away,HOU,240,113,43,93,46.2,11,34,32.4,16,21,76.2,8,34,42,26,8,0,13,18,L
PHX,Home,NOP,265,133,51,104,49,14,36,38.9,17,21,81,13,33,46,27,12,11,7,18,W
PHX,Home,UTA,240,97,42,91,46.2,5,21,23.8,8,13,61.5,9,22,31,21,7,3,10,23,L
PHX,Home,CLE,240,122,46,84,54.8,13,37,35.1,17,20,85,5,35,40,28,1,11,14,22,W
PHX,Home,MEM,240,115,43,81,53.1,12,28,42.9,17,23,73.9,7,33,40,27,8,7,20,26,L
PHX,Home,WAS,240,121,43,87,49.4,14,37,37.8,21,26,80.8,11,37,48,22,9,7,15,28,L
PHX,Away,UTA,240,92,31,76,40.8,7,23,30.4,23,28,82.1,9,27,36,12,8,3,22,18,L
PHX,Away,SAC,240,103,36,88,40.9,9,34,26.5,22,26,84.6,10,33,43,25,10,4,14,21,L
PHX,Home,DET,240,98,35,73,47.9,7,26,26.9,21,26,80.8,7,28,35,22,6,4,19,27,L
PHX,Home,CHI,240,101,39,84,46.4,7,26,26.9,16,26,61.5,9,29,38,24,5,5,12,22,L
PHX,Away,NOP,265,138,51,100,51,9,29,31,27,36,75,11,37,48,31,10,7,22,33,W
PHX,Away,HOU,240,102,38,89,42.7,7,26,26.9,19,25,76,15,34,49,22,9,4,21,21,L
PHX,Home,UTA,240,97,36,82,43.9,7,19,36.8,18,23,78.3,5,30,35,21,8,3,12,20,L
PHX,Away,GSW,240,115,42,86,48.8,10,25,40,21,27,77.8,9,39,48,26,10,4,17,18,W
PHX,Away,POR,240,120,43,103,41.7,9,27,33.3,25,29,86.2,13,30,43,27,7,5,8,23,L
PHX,Home,NYK,240,107,39,81,48.1,12,29,41.4,17,22,77.3,4,27,31,21,11,9,13,25,W
