Team,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
BKN,240,97,39,99,39.4,10,40,25,9,16,56.3,17,33,50,17,5,2,8,20,L
BKN,240,88,30,81,37,8,33,24.2,20,25,80,11,31,42,19,8,2,19,17,L
BKN,290,125,42,94,44.7,16,44,36.4,25,30,83.3,11,40,51,26,7,4,19,28,L
BKN,240,91,30,86,34.9,11,30,36.7,20,28,71.4,14,34,48,11,12,5,20,20,L
BKN,240,125,50,88,56.8,10,25,40,15,20,75,10,33,43,19,2,4,16,25,L
BKN,240,102,33,79,41.8,14,45,31.1,22,26,84.6,9,37,46,26,2,4,19,22,L
BKN,240,113,42,94,44.7,14,42,33.3,15,21,71.4,16,26,42,23,8,2,14,31,L
BKN,240,104,38,88,43.2,8,31,25.8,20,26,76.9,13,40,53,17,6,4,12,21,W
BKN,240,119,40,88,45.5,13,28,46.4,26,34,76.5,15,32,47,25,4,5,11,22,L
BKN,240,115,38,90,42.2,9,33,27.3,30,38,78.9,13,34,47,19,8,3,12,24,W
BKN,240,107,41,101,40.6,8,28,28.6,17,24,70.8,16,30,46,17,10,2,15,29,L
BKN,240,113,40,101,39.6,18,50,36,15,22,68.2,19,23,42,28,10,2,13,29,L
BKN,240,100,36,77,46.8,7,24,29.2,21,29,72.4,12,29,41,20,7,2,15,22,L
BKN,240,112,36,88,40.9,12,33,36.4,28,42,66.7,12,30,42,21,7,9,8,24,W
BKN,240,104,41,92,44.6,9,36,25,13,19,68.4,13,39,52,22,9,5,10,22,W
BKN,240,122,50,105,47.6,9,28,32.1,13,18,72.2,15,23,38,27,11,3,9,28,W
BKN,240,111,42,85,49.4,15,34,44.1,12,20,60,9,29,38,22,5,4,12,28,L
BKN,265,120,43,101,42.6,12,38,31.6,22,30,73.3,18,37,55,26,5,3,16,33,W
BKN,240,96,34,84,40.5,11,38,28.9,17,22,77.3,11,21,32,22,6,7,10,20,L
BKN,240,114,42,87,48.3,20,42,47.6,10,15,66.7,5,32,37,28,5,3,15,20,L
BKN,240,115,43,98,43.9,19,40,47.5,10,15,66.7,16,38,54,26,6,8,21,22,L
BKN,240,102,38,87,43.7,14,34,41.2,12,15,80,8,36,44,23,8,1,14,16,W
BKN,240,112,41,86,47.7,16,37,43.2,14,22,63.6,9,31,40,25,6,6,20,18,L
BKN,240,107,37,75,49.3,12,30,40,21,24,87.5,12,43,55,22,2,6,22,23,W
BKN,240,100,40,82,48.8,5,27,18.5,15,22,68.2,5,34,39,28,9,5,19,23,L
BKN,240,113,43,114,37.7,21,58,36.2,6,7,85.7,20,48,68,29,7,3,12,13,W
BKN,240,108,40,88,45.5,11,36,30.6,17,22,77.3,17,35,52,23,7,4,16,13,W
BKN,240,133,48,97,49.5,19,45,42.2,18,23,78.3,12,31,43,25,7,0,10,19,W
BKN,240,105,41,86,47.7,10,32,31.3,13,21,61.9,9,44,53,23,3,2,16,19,L
BKN,240,121,39,94,41.5,16,44,36.4,27,34,79.4,16,39,55,19,6,5,23,26,L
BKN,240,110,38,83,45.8,12,38,31.6,22,28,78.6,5,35,40,22,7,2,14,17,W
BKN,240,110,40,90,44.4,11,32,34.4,19,29,65.5,11,34,45,25,4,3,15,22,L
BKN,290,144,49,103,47.6,15,42,35.7,31,44,70.5,15,44,59,25,3,4,16,31,L
BKN,240,111,37,92,40.2,16,42,38.1,21,28,75,11,36,47,21,8,4,14,25,W
BKN,240,123,47,94,50,12,35,34.3,17,23,73.9,11,30,41,28,16,4,18,19,W
BKN,240,116,42,100,42,14,38,36.8,18,25,72,15,36,51,26,6,7,14,28,L
BKN,240,98,33,95,34.7,12,36,33.3,20,22,90.9,8,36,44,20,9,5,7,24,L
BKN,240,96,35,84,41.7,13,35,37.1,13,19,68.4,7,36,43,19,7,5,17,18,L
BKN,240,103,39,79,49.4,11,31,35.5,14,22,63.6,5,48,53,21,9,4,17,18,W
BKN,240,114,33,86,38.4,15,44,34.1,33,54,61.1,15,39,54,21,7,3,14,23,W
BKN,240,113,43,91,47.3,12,33,36.4,15,26,57.7,11,39,50,21,5,7,14,22,W
BKN,240,127,48,85,56.5,17,41,41.5,14,19,73.7,3,45,48,29,8,1,13,23,W
BKN,240,88,31,88,35.2,9,42,21.4,17,22,77.3,7,29,36,20,6,6,12,14,L
BKN,240,112,44,86,51.2,10,32,31.3,14,18,77.8,7,30,37,27,2,5,17,19,L
BKN,240,116,39,85,45.9,8,35,22.9,30,39,76.9,7,34,41,20,7,3,16,27,L
BKN,240,101,35,81,43.2,19,50,38,12,16,75,6,45,51,24,5,5,16,15,W
BKN,240,117,40,87,46,17,43,39.5,20,26,76.9,11,31,42,23,5,6,13,26,W
BKN,240,99,36,92,39.1,7,36,19.4,20,26,76.9,12,37,49,26,4,2,12,19,L
BKN,315,148,52,113,46,18,45,40,26,34,76.5,16,44,60,31,4,13,18,23,W
BKN,240,125,46,88,52.3,20,41,48.8,13,18,72.2,5,26,31,33,6,3,15,18,L
BKN,240,106,39,94,41.5,13,41,31.7,15,16,93.8,6,27,33,26,9,1,13,21,L
BKN,240,135,46,90,51.1,19,34,55.9,24,33,72.7,5,35,40,36,9,5,14,22,W
BKN,240,94,33,102,32.4,5,42,11.9,23,28,82.1,16,40,56,23,5,9,13,21,L
BKN,240,89,33,91,36.3,10,38,26.3,13,16,81.3,8,42,50,23,6,2,19,11,L
BKN,240,114,42,89,47.2,11,34,32.4,19,29,65.5,5,41,46,30,5,7,14,23,L
BKN,240,122,42,94,44.7,10,35,28.6,28,40,70,7,36,43,25,11,2,8,21,W
BKN,240,104,39,103,37.9,13,34,38.2,13,16,81.3,16,32,48,20,10,5,17,20,L
BKN,240,109,34,84,40.5,9,33,27.3,32,47,68.1,18,42,60,19,5,2,20,21,W
BKN,240,114,43,90,47.8,10,32,31.3,18,23,78.3,12,33,45,20,7,2,17,22,W
BKN,240,123,45,90,50,13,35,37.1,20,24,83.3,12,44,56,25,9,4,17,15,W
BKN,240,117,44,97,45.4,19,46,41.3,10,15,66.7,9,32,41,24,5,5,11,19,W
