Team,Location,Against,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
BOS,Home,IND,240,28,77,36.4,10,28,35.7,18,22,81.8,7,48,55,18,8,2,20,20,W
IND,Away,BOS,240,28,84,33.3,6,27,22.2,12,21,57.1,9,33,42,22,8,5,13,20,L
BOS,Home,IND,240,40,84,47.6,11,28,39.3,8,9,88.9,7,41,48,22,3,5,14,16,W
IND,Away,BOS,240,36,81,44.4,13,34,38.2,6,10,60,4,32,36,23,11,3,12,16,L
BOS,Away,IND,240,38,81,46.9,15,34,44.1,13,22,59.1,9,36,45,23,4,4,13,19,W
IND,Home,BOS,240,34,81,42,11,30,36.7,17,23,73.9,8,32,40,20,9,4,11,19,L
BOS,Away,IND,240,36,78,46.2,11,28,39.3,27,34,79.4,7,36,43,18,7,1,17,23,W
IND,Home,BOS,240,36,88,40.9,10,28,35.7,24,28,85.7,11,32,43,18,5,2,12,25,L
