Team,Location,Against,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
HOU,Away,GSW,240,38.8,86.5,44.8,16.2,45.5,35.8,20.2,25.3,80,10.7,31.9,42.5,20.7,8.3,4.7,13.5,21.4,?
GSW,Home,HOU,240,42.4,88.4,47.8,11.4,32,35,16.8,21,81.5,10.1,33.7,13.8,26.8,7.1,5.4,14.5,21.5,?
