Team,Matchup,Date,Unknown,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Diff
TOR,TOR vs. ORL,4/13/2019,,L,240,101,40,88,45.5,12,36,33.3,9,14,64.3,6,39,45,23,4,4,13,19,-3
SAS,SAS @ DEN,4/27/2019,,L,240,86,31,85,36.5,6,23,26.1,18,20,90,8,37,45,19,3,5,6,20,-4
SAS,SAS vs. DEN,4/25/2019,,W,240,120,48,84,57.1,10,24,41.7,14,17,82.4,10,31,41,25,3,7,8,17,17
SAS,SAS @ DEN,4/23/2019,,L,240,90,37,90,41.1,7,24,29.2,9,15,60,10,32,42,17,6,3,8,20,-18
SAS,SAS vs. DEN,4/20/2019,,L,240,103,37,79,46.8,5,17,29.4,24,32,75,11,35,46,23,4,4,10,22,-14
SAS,SAS vs. DEN,4/18/2019,,W,240,118,44,89,49.4,7,18,38.9,23,32,71.9,15,30,45,24,9,2,6,20,10
SAS,SAS @ DEN,4/16/2019,,L,240,105,39,86,45.3,5,18,27.8,22,25,88,11,39,50,20,3,3,10,20,-9
SAS,SAS @ DEN,4/13/2019,,W,240,101,40,83,48.2,7,15,46.7,14,20,70,10,37,47,20,4,4,11,17,5
POR,POR vs. DEN,5/5/2019,,L,240,112,39,82,47.6,12,28,42.9,22,28,78.6,12,31,43,18,4,5,14,27,-4
POR,POR vs. DEN,5/3/2019,,W,340,140,52,124,41.9,12,42,28.6,24,28,85.7,24,38,62,23,13,5,14,24,3
POR,POR @ DEN,5/1/2019,,W,240,97,36,85,42.4,9,29,31,16,20,80,7,40,47,18,5,6,11,22,7
POR,POR @ DEN,4/29/2019,,L,240,113,41,79,51.9,11,29,37.9,20,27,74.1,9,31,40,20,6,5,18,24,-8
POR,POR vs. OKC,4/23/2019,,W,240,118,45,96,46.9,13,35,37.1,15,23,65.2,13,32,45,22,8,5,10,18,3
POR,POR @ OKC,4/21/2019,,W,240,111,37,90,41.1,15,35,42.9,22,23,95.7,8,41,49,16,10,8,13,22,13
POR,POR @ OKC,4/19/2019,,L,240,108,39,83,47,12,31,38.7,18,24,75,12,29,41,18,5,1,18,33,-12
POR,POR vs. OKC,4/16/2019,,W,240,114,42,90,46.7,13,32,40.6,17,21,81,7,37,44,17,9,6,12,27,20
POR,POR vs. OKC,4/14/2019,,W,240,104,36,86,41.9,11,25,44,21,27,77.8,13,35,48,14,8,9,19,17,5
PHI,PHI vs. TOR,5/5/2019,,L,240,96,33,82,40.2,12,38,31.6,18,25,72,11,32,43,22,8,6,13,23,-5
PHI,PHI vs. TOR,5/2/2019,,W,240,116,43,84,51.2,10,23,43.5,20,23,87,9,36,45,29,4,8,13,17,21
PHI,PHI @ TOR,4/29/2019,,W,240,94,30,76,39.5,10,35,28.6,24,26,92.3,9,43,52,22,5,4,20,18,5
PHI,PHI @ TOR,4/27/2019,,L,240,95,35,89,39.3,11,32,34.4,14,21,66.7,13,34,47,23,5,2,16,21,-13
PHI,PHI vs. BKN,4/23/2019,,W,240,122,51,100,51,14,33,42.4,6,9,66.7,11,45,56,35,10,3,20,21,22
PHI,PHI @ BKN,4/20/2019,,W,240,112,44,88,50,8,26,30.8,16,21,76.2,12,44,56,25,6,8,21,24,4
PHI,PHI @ BKN,4/18/2019,,W,240,131,45,94,47.9,11,27,40.7,30,35,85.7,15,39,54,26,9,5,16,29,16
PHI,PHI vs. BKN,4/15/2019,,W,240,145,55,98,56.1,9,23,39.1,26,32,81.3,15,34,49,29,8,3,12,23,22
PHI,PHI vs. BKN,4/13/2019,,L,240,102,35,86,40.7,3,25,12,29,42,69,16,34,50,20,6,11,13,24,-9
ORL,ORL @ TOR,4/23/2019,,L,240,96,32,83,38.6,9,34,26.5,23,31,74.2,12,36,48,20,7,5,17,21,-19
ORL,ORL vs. TOR,4/21/2019,,L,240,85,34,81,42,7,33,21.2,10,13,76.9,7,27,34,20,7,2,17,19,-22
ORL,ORL vs. TOR,4/19/2019,,L,240,93,29,80,36.3,13,44,29.5,22,23,95.7,7,35,42,19,8,5,16,17,-5
ORL,ORL @ TOR,4/16/2019,,L,240,82,30,81,37,9,34,26.5,13,24,54.2,12,33,45,17,2,4,17,18,-29
ORL,ORL @ TOR,4/13/2019,,W,240,104,36,90,40,14,29,48.3,18,20,90,10,38,48,19,9,4,11,19,3
OKC,OKC @ POR,4/23/2019,,L,240,115,47,86,54.7,12,27,44.4,9,15,60,6,33,39,24,4,8,15,22,-3
OKC,OKC vs. POR,4/21/2019,,L,240,98,33,88,37.5,15,40,37.5,17,22,77.3,6,38,44,23,7,4,14,22,-13
OKC,OKC vs. POR,4/19/2019,,W,240,120,37,77,48.1,15,29,51.7,31,39,79.5,8,29,37,27,6,5,15,24,12
OKC,OKC @ POR,4/16/2019,,L,240,94,35,86,40.7,5,28,17.9,19,28,67.9,13,34,47,21,6,6,16,27,-20
OKC,OKC @ POR,4/14/2019,,L,240,99,37,93,39.8,5,33,15.2,20,23,87,18,31,49,18,10,4,16,26,-5
MIL,MIL @ BOS,5/6/2019,,W,240,113,44,100,44,8,37,21.6,17,25,68,11,45,56,25,5,5,8,25,12
MIL,MIL @ BOS,5/3/2019,,W,240,123,42,83,50.6,15,37,40.5,24,36,66.7,7,37,44,23,8,7,15,26,7
MIL,MIL vs. BOS,4/30/2019,,W,240,123,39,88,44.3,20,47,42.6,25,31,80.6,10,43,53,22,6,4,12,24,21
MIL,MIL vs. BOS,4/28/2019,,L,240,90,31,89,34.8,13,39,33.3,15,24,62.5,7,37,44,19,6,2,11,11,-22
