Team,Location,Against,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
BOS,Away,MIL,240,39.3,90.5,43.5,13.5,37.5,35.8,16.9,20.7,80.8,8.6,36.4,45,24.4,8,5.7,11.7,20.4,?
MIL,Home,BOS,240,40.8,88.3,46,13.5,38,35,18.7,25.4,73.7,9.1,41,50,23.5,3.4,4.9,14.1,20.5,?
