Team,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
TOR,240,108,41,79,51.9,9,27,33.3,17,24,70.8,2,38,40,21,3,6,10,24,W
PHI,240,95,35,89,39.3,11,32,34.4,14,21,66.7,13,34,47,23,5,2,16,21,L
TOR,240,89,33,90,36.7,10,37,27,13,15,86.7,9,27,36,20,10,4,13,22,L
PHI,240,94,30,76,39.5,10,35,28.6,24,26,92.3,9,43,52,22,5,4,20,18,W
TOR,240,95,35,83,42.2,7,27,25.9,18,23,78.3,8,27,35,15,7,4,9,17,L
PHI,240,116,43,84,51.2,10,23,43.5,20,23,87,9,36,45,29,4,8,13,17,W
TOR,240,101,35,76,46.1,10,31,32.3,21,26,80.8,8,35,43,19,6,3,14,24,W
PHI,240,96,33,82,40.2,12,38,31.6,18,25,72,11,32,43,22,8,6,13,23,L
