Team,Location,Against,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
BOS,Away,MIL,240,47,87,54,13,31,41.9,5,8,62.5,3,48,51,25,5,11,13,21,W
MIL,Home,BOS,240,31,89,34.8,13,39,33.3,15,24,62.5,7,37,44,19,6,2,11,11,L
BOS,Away,MIL,240,34,86,39.5,10,28,35.7,24,27,88.9,7,38,45,19,5,2,13,23,L
MIL,Home,BOS,240,39,88,44.3,20,47,42.6,25,31,80.6,10,43,53,22,6,4,12,24,W
BOS,Home,MIL,240,35,81,43.2,16,40,40,30,32,93.8,6,38,44,24,9,3,18,27,L
MIL,Away,BOS,240,42,83,50.6,15,37,40.5,24,36,66.7,7,37,44,23,8,7,15,26,W
BOS,Home,MIL,240,34,90,37.8,9,41,22,24,30,80,9,42,51,25,4,5,12,20,L
MIL,Away,BOS,240,44,100,44,8,37,21.6,17,25,68,11,45,56,25,5,5,8,25,W
